indicator,type,family,reference,description
bnb[.]cchain-gov[.]org,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved to 104.143.36.164
labubu[.]cchain-gov[.]org,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved to 104.143.36.164
swap[.]cchain-gov[.]org,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved to 104.143.36.164
home[.]cchain-gov[.]org,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved to 104.143.36.164
cross[.]cchain-gov[.]org,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved to 104.143.36.164
ccadm[.]cchain-gov[.]org,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved to 104.143.36.164
mine[.]cchain-gov[.]org,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved to 104.143.36.164
down[.]cchain-gov[.]org,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved to 104.143.36.164
oc[.]cchain-gov[.]org,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved to 104.143.36.164
scan[.]cchain-gov[.]org,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved to 104.143.36.164
bnb[.]cchaingov[.]org,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved to 104.143.36.164
help[.]cchaingov[.]org,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved to 104.143.36.164
bnb-proxy[.]cchaingov[.]org,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved to 104.143.36.164
dscc[.]undcf[.]org,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved to 104.143.36.164
sso[.]travel-track[.]xyz,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved deaddrop
setup3[.]basepath[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved deaddrop
fvlrzhvp[.]gopfunzved[.]xyz,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved deaddrop
dxfshr[.]vqbgzyzool[.]xyz,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved deaddrop
hub4[.]cdndock[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved deaddrop
init[.]maxlab[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved deaddrop
dlpgqy[.]nibxrsnrwl[.]xyz,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved deaddrop
gzsfjf[.]lnwybaxiex[.]xyz,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved deaddrop
dsukc[.]xvnnbzdfbt[.]xyz,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved deaddrop
feed3[.]deltasignal33[.]lat,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved deaddrop
easzcme[.]jnzwrngjgb[.]xyz,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved deaddrop
umxenpws[.]jqmbtkacwq[.]xyz,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved deaddrop
mail[.]pressfabric[.]lol,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved deaddrop
ping[.]south-loop[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved deaddrop
stream1[.]benchhq60[.]xyz,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved deaddrop
index[.]works-table[.]one,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved deaddrop
console[.]plan-stack2[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved deaddrop
gate[.]runmanor[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved deaddrop
resolve[.]blue-pulse[.]lol,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved deaddrop
panel[.]roamcove[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved deaddrop
setup[.]novareport[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved deaddrop
console[.]reefware[.]xyz,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved deaddrop
init[.]drifttexture[.]xyz,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved deaddrop
core3[.]barnfleet[.]one,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved deaddrop
job4[.]mintstack[.]lol,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved deaddrop
bridge1[.]shore-tile[.]lol,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved deaddrop
dash4[.]dusktrack[.]one,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved deaddrop
worker[.]swift-pilot[.]one,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved deaddrop
beta[.]studycadence[.]one,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Resolved deaddrop
